"label","sensor_data"
"Aggressive","$$$0.2700721482395749/0.5938257695594813/0.11847588932806324/0.7022471984395745/0.11999998902291034/0.08333333862706865"
"Aggressive","$$$0.31765937596687455/0.6014415166016707/0.0/0.7078651739286306/0.2599999914622636/0.1428571433433022"
"Aggressive","$$$0.5743057152526783/0.6465162020838767/0.03352481335090031/0.6910112383609958/0.4799999751490887/0.1666666772541373"
"Aggressive","$$$0.5524034518943315/0.641346039311181/0.04071462450592885/0.7528089949713691/0.4199999977893361/0.11904762871678867"
"Aggressive","$$$0.6163383687852602/0.820260236281041/0.18073184014053578/0.7303370844499998/0.6199999890229103/0.13095238603004544"
"Aggressive","$$$0.7188489507940762/1.0/0.00176723759332455/1.0/0.37999998048517397/0.154761900656559"
"Aggressive","$$$0.6913952631450712/0.7555105560373074/0.8738733421168203/0.8089887702041492/0.6799999987803234/0.2619047720600909"
"Aggressive","$$$1.0/0.974146399230154/0.2993187527448397/0.9101123664796679/0.45999998269583786/0.19047618961190715"
"Aggressive","$$$0.5439531980162363/0.5233637213204761/1.0/0.7808988804464729/0.4199999977893361/0.4880952256711654"
"Aggressive","$$$0.0/0.0/0.2582429512516469/0.0/0.31999997072776093/1.0"
"Aggressive","$$$0.5360283731675902/0.893409461312704/0.577716644707949/0.8033707973917009/0.939999990242587/0.49999999546251256"
"Aggressive","$$$0.14911453902259686/0.6588080653243907/0.11665384277558191/0.5056179813775933/0.0/0.22619048083599902"
"Aggressive","$$$0.6129479455616476/0.7331559900081159/0.2636339042599912/0.7752809076340247/1.0/0.0"
