"label","sensor_data"
"Normal","$$$0.23682091661123933/0.42616752455775964/0.12277544511594587/0.35344828059244005/0.7743362922004056/1.0/1.0/0.9968944099378882/0.0"
"Normal","$$$0.35063672670268486/1.0/0.30951712362811645/0.45689655625623/0.5530973525354325/0.8837209313663165/1.0/0.9968944099378882/0.0"
"Normal","$$$0.22520676309476584/0.5457148992103389/0.24636000561615237/0.4396551721871885/0.6814159387553966/0.8914728745443421/1.0/0.9968944099378882/0.0"
"Normal","$$$0.2691497593603855/0.49451888865476656/0.35111918233740574/0.4396551721871885/0.7477876159326894/0.7209302428134993/1.0/0.9968944099378882/0.0"
"Normal","$$$0.17259465792135487/0.5253538424490533/0.27545843893510374/0.551724132492524/0.8539823075115565/0.7286821623543809/1.0/0.9968944099378882/0.0"
"Normal","$$$0.4906485967549205/0.4128543190552161/0.47798376030097656/0.6465517284434185/0.8938053084211329/0.9689922472317379/0.9310344827586207/1.0/0.09484848831639145"
"Normal","$$$0.359114840336338/0.0/0.40770550454672627/0.17241380126121397/0.9336283160767084/0.8914728745443421/0.9310344827586207/1.0/0.09484848831639145"
"Normal","$$$0.16032514589497207/0.6652696788176153/0.11291233370603541/0.982758609359425/0.9601769923444246/0.8449612391133325/0.9310344827586207/1.0/0.09484848831639145"
"Normal","$$$0.27382320088453815/0.22485893460963446/0.2931416325991/0.27586207938932894/0.7787610687675254/0.8604651136508118/0.9310344827586207/1.0/0.09484848831639145"
"Normal","$$$0.15166613910362065/0.1795005568766744/0.0916078490853768/0.758620688748754/0.8274336312438402/0.837209307753879/0.7931034482758621/0.922360248447205/0.45151513995546283"
"Normal","$$$0.2948593282975188/0.09433155734826365/0.9336976316849379/0.0/0.8716814205260346/0.7596899350664831/0.7931034482758621/0.922360248447205/0.45151513995546283"
"Normal","$$$0.14304723258279406/0.2880108365190693/0.41957680037140394/0.58620688748754/0.902654871674371/0.6976744132794225/0.7931034482758621/0.922360248447205/0.45151513995546283"
"Normal","$$$0.2916538226141118/0.9308561050740998/0.6508500579550032/1.0/1.0/0.5813953601576147/0.7931034482758621/0.922360248447205/0.45151513995546283"
"Normal","$$$0.23378411777458757/0.3080176193773015/0.0/0.637931033123131/0.9778761053589028/0.4728682029395446/0.6896551724137931/0.7360248447204969/0.5787878903475675"
"Normal","$$$0.47889264265946485/0.10300155524116272/0.1831593319280729/0.4396551721871885/0.9424778793299464/0.43410853432370466/0.6896551724137931/0.7360248447204969/0.5787878903475675"
"Normal","$$$0.275904561542231/0.5812804752014288/0.05203190958404603/0.9396551853302554/0.8407079693776983/0.23255815351790346/0.6896551724137931/0.7360248447204969/0.5787878903475675"
"Normal","$$$0.0637052032799168/0.5753218747177989/0.2863305105676926/0.6637930927978596/0.8362831944970782/0.0/0.6896551724137931/0.7360248447204969/0.5787878903475675"
"Normal","$$$0.37850135178694233/0.3896878881831773/0.4752622835398567/0.8965517087288181/0.9336283160767084/0.05426360224617899/0.4827586206896552/0.5559006211180124/0.7121212121212122"
"Normal","$$$0.2200319482545861/0.45869560418610716/0.46980600702838926/0.7931034437437701/0.6681416006215386/0.038759715890127854/0.4827586206896552/0.5559006211180124/0.7121212121212122"
"Normal","$$$0.25807874300631356/0.1992166400770597/0.7988305489993923/0.9396551853302554/0.0/0.13178293947785893/0.4827586206896552/0.5559006211180124/0.7121212121212122"
"Normal","$$$1.0/0.21589817685600474/0.7817648246438407/0.7499999934284666/0.06637172439928499/0.1162790531218078/0.4827586206896552/0.5559006211180124/0.7121212121212122"
"Normal","$$$0.567881221572091/0.44432814585151964/0.3388087402908716/0.267241377497508/0.7079646082771139/0.1937984849020635/0.2413793103448276/0.30124223602484473/0.8909090793494022"
"Normal","$$$0.40640481334742934/0.2942189980233387/0.38704820974894366/0.6465517284434185/0.5840708104297676/0.3023255948458457/0.2413793103448276/0.30124223602484473/0.8909090793494022"
"Normal","$$$0.3447619052640258/0.28432336975607797/1.0/0.4310344834384345/0.610619473205486/0.4263565911456791/0.2413793103448276/0.30124223602484473/0.8909090793494022"
"Normal","$$$0.3994153641069674/0.33713253664850545/0.5303333719358406/0.637931033123131/0.7256637246645916/0.5426356442674869/0.2413793103448276/0.30124223602484473/0.8909090793494022"
"Normal","$$$0.239630618203355/0.29133600232784485/0.11113320222145473/0.758620688748754/0.7433628393655696/0.5658914738015636/0.0/0.0/1.0"
"Normal","$$$0.0/0.27836382609393656/0.5074700975755234/0.6982758477928755/0.7610619540665475/0.782945740963416/0.0/0.0/1.0"
