"label","sensor_data"
"Slow","$$$0.37668307782897403/0.29413643734693407/0.5760566653213196/0.5466666563671754/0.881578949216096/0.6764705948295665/0.3333333333333333/1.0/0.0"
"Slow","$$$0.33403570003507893/0.2815902719350523/0.6232259327011949/0.5733333124294315/0.7368420978064698/0.7058823456874768/0.3333333333333333/1.0/0.0"
"Slow","$$$0.3562841756596849/0.26421581902936836/0.6748457655636567/0.5866666620589995/0.6447368275878173/0.5882352862045201/0.3333333333333333/1.0/0.0"
"Slow","$$$0.3880592529120905/0.300406675131974/0.5257507298944863/0.5466666563671754/0.5263157968643839/0.5882352862045201/0.3333333333333333/1.0/0.0"
"Slow","$$$0.47368978645729215/0.26905873111224066/0.5597482628423864/0.5333333283360473/0.6710526294673189/0.6470587935254721/0.3333333333333333/1.0/0.0"
"Slow","$$$0.5314855953236508/0.2961811920333331/0.6210580892926095/0.4799999971540879/0.7105263184949977/0.7058823456874768/0.3333333333333333/1.0/0.0"
"Slow","$$$0.0991776554126062/0.5067577632155318/0.4461437459705107/0.7733333281835877/0.39473684263317027/0.6764705948295665/0.3333333333333333/1.0/0.0"
"Slow","$$$1.0/0.3747369648004368/0.7300032497995084/0.7199999804851743/0.763157898432192/0.7058823456874768/0.3333333333333333/1.0/0.0"
"Slow","$$$0.2350842068707778/0.6219523434135005/0.5512446207955719/0.8133333135474684/0.5789473605024458/0.8823529068862539/0.3333333333333333/1.0/0.0"
"Slow","$$$0.2695690151140324/0.3289166105220808/0.5978940949745171/0.6666666531147044/0.39473684263317027/0.32352940517043344/0.3333333333333333/1.0/0.0"
"Slow","$$$0.5456045585826178/0.027069780999999307/1.0/0.6533333212720869/0.9342105228843932/0.6176470398649961/0.3333333333333333/1.0/0.0"
"Slow","$$$0.4827280041084172/0.363847055716571/0.5817040655690731/0.7066666588065286/0.6578947410653623/0.9117647137954799/0.3333333333333333/1.0/0.0"
"Slow","$$$0.26299114632767734/0.1931261810028886/0.5575428545470111/0.2666666571802931/0.7499999874622059/0.6176470398649961/0.3333333333333333/1.0/0.0"
"Slow","$$$0.440818424356585/0.4137376046953464/0.7178654233562741/0.9466666319736433/0.5394736802512229/1.0/0.3333333333333333/0.9595959595959596/0.35064936552789283"
"Slow","$$$0.09977798666795744/0.3143441443283117/0.4539249191481332/0.0/0.3684210557990217/0.6470587935254721/0.3333333333333333/0.9595959595959596/0.35064936552789283"
"Slow","$$$0.719762680712212/0.2928434773155424/0.7781749754954634/0.29333332086552805/0.618421050783904/0.5588235325440442/0.3333333333333333/0.9595959595959596/0.35064936552789283"
"Slow","$$$0.1641152854475149/0.3337077383153379/0.8015822679756719/0.5066666506753512/1.0/0.17647057240904027/0.3333333333333333/0.9595959595959596/0.35064936552789283"
"Slow","$$$0.2764418114813576/0.29434158548227785/0.5524584908000971/0.5466666563671754/0.9736842131658514/0.29411766552278634/0.3333333333333333/0.8333333333333334/0.5551948313327847"
"Slow","$$$0.40572264906802213/0.3706223227838902/0.7693118462180895/0.5333333283360473/0.5394736802512229/0.3823529293067802/0.3333333333333333/0.8333333333333334/0.5551948313327847"
"Slow","$$$0.25730411278332205/0.2601500819237653/0.7161090464983411/0.5999999888196311/0.8026315887136503/0.0/0.3333333333333333/0.8333333333333334/0.5551948313327847"
"Slow","$$$0.0/0.0/0.6383396844200069/0.37333333224917636/0.5263157968643839/0.5588235325440442/0.3333333333333333/0.8333333333333334/0.5551948313327847"
"Slow","$$$0.431390131922442/0.06853285366116955/0.0/0.8533333192392926/0.5263157968643839/0.4411764758636533/0.0/0.6691919191919192/0.7045454967683444"
"Slow","$$$0.39837922697992656/1.0/0.29084045755779314/1.0/0.02631580689461928/0.02941173964764708/0.0/0.6691919191919192/0.7045454967683444"
"Slow","$$$0.6683098270131882/0.477284363974441/0.8459437784685058/0.6533333212720869/0.7499999874622059/0.14705883276139317/0.0/0.6691919191919192/0.7045454967683444"
"Slow","$$$0.7725940349954539/0.1845664511618293/0.9519597514078096/0.3333333265573522/0.8289473655175634/0.23529409654538702/0.6666666666666666/0.4823232323232323/0.759740266174224"
"Slow","$$$0.4441549004114773/0.11477543765318962/0.84004565444148/0.43999999146226376/0.9078947360502446/0.4411764758636533/0.6666666666666666/0.4823232323232323/0.759740266174224"
"Slow","$$$0.8373727669671911/0.07303343136743672/0.7875609555808317/0.5200000003049191/0.9342105228843932/0.529411778883568/0.6666666666666666/0.4823232323232323/0.759740266174224"
"Slow","$$$0.30872100282020903/0.21428282642580945/0.5689582121210532/0.6399999894294695/0.8289473655175634/0.4411764758636533/0.6666666666666666/0.4823232323232323/0.759740266174224"
"Slow","$$$0.3132510348895112/0.11055426852056435/0.6973838240355871/0.8133333135474684/0.6842105178692754/0.5588235325440442/1.0/0.2601010101010101/0.9220779325331139"
"Slow","$$$0.46752613857169517/0.2720158134289274/0.20571973449487457/0.4133333379410005/0.8026315887136503/0.32352940517043344/1.0/0.2601010101010101/0.9220779325331139"
"Slow","$$$0.21092879479156743/0.47130792164567475/0.314765359233886/0.6266666677508237/0.4342105329146285/0.2647058586135604/1.0/0.2601010101010101/0.9220779325331139"
"Slow","$$$0.595640297072625/0.3152517719805188/0.7371405782895921/0.03999998536388076/0.0/0.17647057240904027/1.0/0.2601010101010101/0.9220779325331139"
"Slow","$$$0.5540259642948546/0.2704174119491444/0.402384584069343/0.8533333192392926/0.9605263097185418/0.11764704827269351/1.0/0.0/1.0"
