"accelerometerXAxis","accelerometerYAxis","accelerometerZAxis","gyroscopeXAxis","gyroscopeYAxis","gyroscopeZAxis","label"
0.021176912,-0.009264395,0.03217411,6.11E-4,-0.004276057,-0.003665192,"Aggressive"
0.342422217,0.441922307,0.184499741,0.036651913,-0.005497787,-0.01160644,"Aggressive"
0.253177345,0.122181654,0.431758881,0.00122173,0.001832596,-0.004886922,"Aggressive"
0.062431753,0.953547716,0.104305267,0.036041051,-0.01160644,-0.031154128,"Aggressive"
0.24743177,0.130632877,0.082523346,0.016493361,-0.018936822,-0.057421334,"Aggressive"
-0.0414823,-1.67232728,0.364449501,-0.042760566,0.004276057,-0.058643065,"Aggressive"
0.106728658,0.905683637,0.668567657,0.072082102,0.001832596,-0.056199603,"Aggressive"
-0.073187545,-0.31844604,-0.047076225,-0.019547688,0.008552114,-0.047036625,"Aggressive"
0.106172845,0.222360015,-0.178570747,0.042760566,0.031764992,-0.043371432,"Aggressive"
0.066537142,0.15316081,0.549679756,0.014660766,-0.020769419,-0.04642576,"Aggressive"
0.361180842,-0.054309368,0.491913795,-0.030543262,0.017104227,-0.049480084,"Aggressive"
0.188469589,0.089108944,0.793811798,0.013439035,-0.001832596,-0.069027774,"Aggressive"
0.818044841,0.270621777,0.830152512,0.03848451,0.007330383,-0.089186326,"Aggressive"
0.017961919,0.813704729,0.015134811,0.019547688,0.040927973,-0.086131997,"Aggressive"
0.282971591,-0.058084249,0.953564644,0.01282817,0.008552114,-0.106290549,"Aggressive"
0.143212825,-1.232295871,1.520225525,-0.006108652,0.029932396,-0.08124508,"Aggressive"
-0.340572536,-0.834228158,-0.642436981,0.054977871,0.021380283,-0.103236228,"Aggressive"
-0.011042863,1.743050337,1.988876343,0.051312681,-0.054977871,-0.098960169,"Aggressive"
0.350487947,0.297278643,-0.33067131,0.047647487,-0.040927973,-0.06963864,"Aggressive"
-0.063220069,0.964525223,0.151843071,0.019547688,0.034208454,-0.061086524,"Aggressive"
-0.077680022,0.084685564,1.020075798,0.008552114,-0.048258353,-0.072692961,"Aggressive"
0.094142139,-0.289676666,0.74215889,0.017104227,0.0,-0.067195177,"Aggressive"
-0.361156106,0.043729305,0.807326317,0.01038471,-0.009162978,-0.050701816,"Aggressive"
-0.717725277,0.223373652,0.907835007,0.035430185,-0.031764992,-0.031154128,"Aggressive"
-0.413045317,0.397481203,0.65721035,0.025656341,0.01038471,-0.021991149,"Aggressive"
-0.561482668,-0.093682051,0.598565102,0.02321288,-0.020769419,-0.01282817,"Aggressive"
-0.228011698,-0.205183268,0.825426102,0.028099801,-0.025656341,0.004276057,"Aggressive"
