sensor_data,label
$$$0.9480900232691144/0.6571609099218534/0.5162223841293282/0.3435114611314079/0.5454545528045252/1.0 $$$1.0/0.4956037531490986/0.6086395773571097/0.31297710901467424/0.37878787843787975/0.8800000022360739 $$$0.9391821067266011/0.9524225792190245/0.342115795526572/0.5038168081076468/0.04545455280452513/0.8666666747978444 $$$0.5483212844153382/0.7297062302452688/0.5918968942151245/0.7480916192224483/0.09090908250911414/0.67999998902291,Normal
$$$0.9500127512594092/0.6590836379121482/0.518145112119623/0.34543418912170276/0.54737728079482/1.001922727990295 $$$1.001922727990295/0.49752648113939346/0.6105623053474045/0.3148998370049691/0.3807106064281746/0.8819227302263687 $$$0.9411048347168959/0.9543453072093193/0.34403852351686687/0.5057395360979416/0.04737728079481997/0.8685894027881392 $$$0.550244012405633/0.7316289582355636/0.5938196222054193/0.7500143472127431/0.09283181049940897/0.6819227170132048,Normal
$$$1.0/0.4956037531490986/0.6086395773571097/0.31297710901467424/0.37878787843787975/0.8800000022360739 $$$0.9391821067266011/0.9524225792190245/0.342115795526572/0.5038168081076468/0.04545455280452513/0.8666666747978444 $$$0.5483212844153382/0.7297062302452688/0.5918968942151245/0.7480916192224483/0.09090908250911414/0.67999998902291 $$$0.9451939486264607/0.53860869921193/0.7519897149055457/0.6106870394251394/0.0/0.13333334553009998,Normal
$$$0.9944749145095364/0.49007866765863506/0.6031144918666461/0.3074520235242107/0.3732627929474162/0.8744749167456103 $$$0.9336570212361375/0.9468974937285609/0.33659071003610846/0.4982917226171833/0.03992946731406158/0.8611415893073808 $$$0.5427961989248746/0.7241811447548052/0.5863718087246609/0.7425665337319847/0.0853839970186506/0.6744749035324464 $$$0.9396688631359971/0.5330836137214664/0.7464646294150821/0.6051619539346758/-0.005525085490463548/0.12780826003963644,Normal
$$$0.9391821067266011/0.9524225792190245/0.342115795526572/0.5038168081076468/0.04545455280452513/0.8666666747978444 $$$0.5483212844153382/0.7297062302452688/0.5918968942151245/0.7480916192224483/0.09090908250911414/0.67999998902291 $$$0.9451939486264607/0.53860869921193/0.7519897149055457/0.6106870394251394/0.0/0.13333334553009998 $$$0.45794670804477455/0.3974974146326722/0.4771681031384567/0.3282442788902814/0.2878787728288295/0.013333342684187769,Normal
$$$0.933252001776229/0.9464924742686525/0.3361856905761999/0.49788670315727473/0.03952444785415303/0.8607365698474724 $$$0.5423911794649662/0.7237761252948968/0.5859667892647524/0.7421615142720762/0.08497897755874204/0.674069884072538 $$$0.9392638436760886/0.532678594261558/0.7460596099551736/0.6047569344747673/-0.005930104950372102/0.12740324057972788 $$$0.45201660309440245/0.3915673096823001/0.4712379981880846/0.3223141739399093/0.2819486678784574/0.007403237733815667,Normal
$$$0.5483212844153382/0.7297062302452688/0.5918968942151245/0.7480916192224483/0.09090908250911414/0.67999998902291 $$$0.9451939486264607/0.53860869921193/0.7519897149055457/0.6106870394251394/0.0/0.13333334553009998 $$$0.45794670804477455/0.3974974146326722/0.4771681031384567/0.3282442788902814/0.2878787728288295/0.013333342684187769 $$$0.5206549706757153/0.0/0.6784160039728955/0.0/0.9090908943909497/0.0,Aggressive
$$$0.5538162861995681/0.7352012320294987/0.5973918959993544/0.7535866210066782/0.09640408429334403/0.6854949908071399 $$$0.9506889504106906/0.5441037009961599/0.7574847166897756/0.6161820412093693/0.005495001784229892/0.1388283473143299 $$$0.46344170982900446/0.4029924164169021/0.4826631049226866/0.3337392806745113/0.2933737746130594/0.018828344468417663 $$$0.5261499724599452/0.005495001784229892/0.6839110057571254/0.005495001784229892/0.9145858961751796/0.005495001784229892,Aggressive
$$$0.9451939486264607/0.53860869921193/0.7519897149055457/0.6106870394251394/0.0/0.13333334553009998 $$$0.45794670804477455/0.3974974146326722/0.4771681031384567/0.3282442788902814/0.2878787728288295/0.013333342684187769 $$$0.5206549706757153/0.0/0.6784160039728955/0.0/0.9090908943909497/0.0 $$$0.0/1.0/0.4887298496442037/1.0/0.39393938785816074/0.026666604056597834,Aggressive
$$$0.9413030101171173/0.5347177607025866/0.7480987763962023/0.6067961009157959/-0.00389093850934346/0.12944240702075652 $$$0.4540557695354311/0.3936064761233287/0.47327716462911323/0.32435334038093794/0.28398783431948604/0.009442404174844309 $$$0.5167640321663719/-0.00389093850934346/0.6745250654635521/-0.00389093850934346/0.9051999558816063/-0.00389093850934346 $$$-0.00389093850934346/0.9961090614906566/0.4848389111348602/0.9961090614906566/0.39004844934881727/0.022775665547254374,Aggressive
$$$0.45794670804477455/0.3974974146326722/0.4771681031384567/0.3282442788902814/0.2878787728288295/0.013333342684187769 $$$0.5206549706757153/0.0/0.6784160039728955/0.0/0.9090908943909497/0.0 $$$0.0/1.0/0.4887298496442037/1.0/0.39393938785816074/0.026666604056597834 $$$0.48607042797916056/0.18718141520849632/0.16514388677247985/0.06870228989865441/0.7878787843787975/0.013333342684187769,Aggressive
$$$0.46188798462916913/0.40143869121706677/0.4811093797228513/0.332185555474676/0.2918200494132241/0.01727461926858235 $$$0.5245962472601099/0.003941276584394582/0.6823572805572901/0.003941276584394582/0.9130321709753443/0.003941276584394582 $$$0.003941276584394582/1.0039412765843947/0.49267112622859827/1.0039412765843947/0.3978806644425553/0.030607880640992416 $$$0.49001170456355514/0.1911226917928909/0.16908516335687443/0.072643566483049/0.7918200609631921/0.01727461926858235,Aggressive
$$$0.5206549706757153/0.0/0.6784160039728955/0.0/0.9090908943909497/0.0 $$$0.0/1.0/0.4887298496442037/1.0/0.39393938785816074/0.026666604056597834 $$$0.48607042797916056/0.18718141520849632/0.16514388677247985/0.06870228989865441/0.7878787843787975/0.013333342684187769 $$$0.38914332289492315/0.6556420579089455/1.0/0.8015267232430587/0.8939394152893348/0.1733332922708856,Aggressive
$$$0.5281360128067359/0.0074810421310206685/0.6858970461039161/0.0074810421310206685/0.9165719365219703/0.0074810421310206685 $$$0.0074810421310206685/1.0074810421310207/0.49621089177522437/1.0074810421310207/0.4014204299891814/0.0341476461876185 $$$0.49355147011018125/0.19466245733951698/0.1726249289035005/0.07618333202967509/0.7953598265098182/0.020814384815208437 $$$0.39662436502594384/0.6631231000399661/1.0074810421310207/0.8090077653740794/0.9014204574203555/0.18081433440190625,Aggressive
$$$0.0/1.0/0.4887298496442037/1.0/0.39393938785816074/0.026666604056597834 $$$0.48607042797916056/0.18718141520849632/0.16514388677247985/0.06870228989865441/0.7878787843787975/0.013333342684187769 $$$0.38914332289492315/0.6556420579089455/1.0/0.8015267232430587/0.8939394152893348/0.1733332922708856 $$$0.3559252250213007/0.40954839804741167/0.0/0.6335877949659336/1.0/0.09333331747753668,Aggressive
$$$-0.0031022167699346313/0.9968977832300654/0.4856276328742691/0.9968977832300654/0.39083717108822613/0.023564387286663203 $$$0.48296821120922595/0.1840791984385617/0.1620416700025452/0.06560007312871978/0.7847765676088629/0.010231125914253137 $$$0.38604110612498854/0.6525398411390109/0.9968977832300654/0.7984245064731241/0.8908371985194002/0.17023107550095096 $$$0.3528230082513661/0.40644618127747706/-0.0031022167699346313/0.630485578195999/0.9968977832300654/0.09023110070760204,Aggressive
$$$0.48607042797916056/0.18718141520849632/0.16514388677247985/0.06870228989865441/0.7878787843787975/0.013333342684187769 $$$0.38914332289492315/0.6556420579089455/1.0/0.8015267232430587/0.8939394152893348/0.1733332922708856 $$$0.3559252250213007/0.40954839804741167/0.0/0.6335877949659336/1.0/0.09333331747753668 $$$0.45568741028342097/0.4921516445021685/0.8437951279755876/0.3816793967311782/0.7272727293727215/0.10666666016172445,Normal
