"label","sensor_data"
"Aggressive","$$$2023-04-23T19:42:30.793+01:00/0.9480900232691144/0.6571609099218534/0.5162223841293282|$$$2023-04-23T19:42:31.043+01:00/1.0/0.4956037531490986/0.6086395773571097|$$$2023-04-23T19:42:31.293+01:00/0.9391821067266011/0.9524225792190245/0.342115795526572|$$$2023-04-23T19:42:31.544+01:00/0.5483212844153382/0.7297062302452688/0.5918968942151245|$$$2023-04-23T19:42:31.794+01:00/0.9451939486264607/0.53860869921193/0.7519897149055457|$$$2023-04-23T19:42:32.044+01:00/0.45794670804477455/0.3974974146326722/0.4771681031384567|$$$2023-04-23T19:42:32.294+01:00/0.5206549706757153/0.0/0.6784160039728955|$$$2023-04-23T19:42:32.555+01:00/0.0/1.0/0.4887298496442037|$$$2023-04-23T19:42:32.807+01:00/0.48607042797916056/0.18718141520849632/0.16514388677247985|$$$2023-04-23T19:42:33.057+01:00/0.38914332289492315/0.6556420579089455/1.0|$$$2023-04-23T19:42:33.307+01:00/0.3559252250213007/0.40954839804741167/0.0|$$$2023-04-23T19:42:33.558+01:00/0.45568741028342097/0.4921516445021685/0.8437951279755876|$$$2023-04-23T19:42:33.808+01:00/0.691704803138625/0.3855378640574225/0.7349170462045126"
"Normal","$$$2023-04-23T19:30:17.090+01:00/0.21986313583956876/0.4074129547760905/0.2723820561477689|$$$2023-04-23T19:30:17.340+01:00/0.24346772452913001/0.4926461903713602/0.19861275614819343|$$$2023-04-23T19:30:17.591+01:00/1.0/0.7541884358580742/1.0|$$$2023-04-23T19:30:17.842+01:00/0.0/1.0/0.0|$$$2023-04-23T19:30:18.097+01:00/0.4679913231001063/0.6993348489866933/0.8898753804811574|$$$2023-04-23T19:30:18.348+01:00/0.06811627618278371/0.10054333119006852/0.23496913698170718|$$$2023-04-23T19:30:18.598+01:00/0.1432789558987935/0.6514196938169542/0.4152455668903917|$$$2023-04-23T19:30:18.866+01:00/0.6015911910542846/0.22734729650903313/0.3922808492212076|$$$2023-04-23T19:30:19.117+01:00/0.3295284829047969/0.4777908359845083/0.607026643232848|$$$2023-04-23T19:30:19.367+01:00/0.17623179724241808/0.3734271637610355/0.6756273428511995|$$$2023-04-23T19:30:19.619+01:00/0.3965029218819892/0.41315173006041506/0.25729016781940317|$$$2023-04-23T19:30:19.869+01:00/0.6157727789289102/0.0/0.6239015397547091|$$$2023-04-23T19:30:20.121+01:00/0.5262422661530533/0.41849158364708994/0.3267760032603574"
"Slow","$$$2023-04-23T19:19:20.287+01:00/0.4397941025462734/0.6317942676369269/0.16293888527503214|$$$2023-04-23T19:19:20.537+01:00/0.5359410837478148/0.8725077102869673/0.11796653127925241|$$$2023-04-23T19:19:20.789+01:00/0.563003756934948/0.735831094894206/0.4476917371368735|$$$2023-04-23T19:19:21.040+01:00/0.7275866205636174/0.5896385263860406/0.5513979676022148|$$$2023-04-23T19:19:21.293+01:00/0.3465511983351208/0.6129086539370685/0.0|$$$2023-04-23T19:19:21.544+01:00/1.0/0.6080270771371991/0.299262046042298|$$$2023-04-23T19:19:21.797+01:00/0.7751576486883036/0.4654619582688809/0.687071625759571|$$$2023-04-23T19:19:22.064+01:00/0.5883023696995365/0.42934811163791486/0.575374034174745|$$$2023-04-23T19:19:22.314+01:00/0.0/0.6961763202475437/0.8644403766520173|$$$2023-04-23T19:19:22.564+01:00/0.8343825078120226/0.0/0.6057201843595805|$$$2023-04-23T19:19:22.814+01:00/0.2817455384202612/0.37782608455321354/0.32289898300782177|$$$2023-04-23T19:19:23.067+01:00/0.5939656137556215/1.0/0.3021823287692967|$$$2023-04-23T19:19:23.317+01:00/0.5980530803144054/0.24431015587565905/0.10719569563216932|$$$2023-04-23T19:19:23.569+01:00/0.289155402534263/0.7598249319013142/1.0"
"Aggressive","$$$2023-04-23T19:43:56.441+01:00/0.3569560318212405/0.47122514100600726/0.04766240800926445|$$$2023-04-23T19:43:56.691+01:00/0.0/0.5248227256976803/0.2900706040569315|$$$2023-04-23T19:43:56.942+01:00/0.26138869973538104/0.7914028208246946/0.1561171504352049|$$$2023-04-23T19:43:57.195+01:00/0.17970718199950303/0.38718950976794053/0.2945823527214315|$$$2023-04-23T19:43:57.454+01:00/0.3210397844745591/0.49436320239598125/0.4727445926257985|$$$2023-04-23T19:43:57.705+01:00/0.3813730355370444/0.13208632847001917/0.8017109342896634|$$$2023-04-23T19:43:57.956+01:00/0.7610879126416403/0.3345841892010471/0.5716472412118495|$$$2023-04-23T19:43:58.220+01:00/0.6767713515310944/0.48179683862161904/0.7007023049049274|$$$2023-04-23T19:43:58.470+01:00/1.0/0.35524174540009135/0.6518650304456648|$$$2023-04-23T19:43:58.721+01:00/0.5929495873520819/0.5162546812521257/0.0|$$$2023-04-23T19:43:58.971+01:00/0.5054668727399814/0.44904688842047014/0.1490184541820763|$$$2023-04-23T19:43:59.233+01:00/0.7742142887554984/0.4895010891697267/0.6779212895513467|$$$2023-04-23T19:43:59.483+01:00/0.856052707954356/0.4296760160406743/1.0|$$$2023-04-23T19:43:59.733+01:00/0.42269362940719846/0.7335835925755838/0.47139695169785945|$$$2023-04-23T19:43:59.983+01:00/0.35581100129946275/0.20187469456170926/0.48262822668011507|$$$2023-04-23T19:44:00.238+01:00/0.29590223569169427/0.0/0.543759572639994|$$$2023-04-23T19:44:00.488+01:00/0.11415638183412802/1.0/0.4063403563823826"
"Aggressive","$$$2023-04-23T19:45:09.171+01:00/0.34225991794111466/0.433077419501953/0.4412439892977296|$$$2023-04-23T19:45:09.421+01:00/0.7531959930942922/0.4191996086506473/0.656099569801347|$$$2023-04-23T19:45:09.673+01:00/0.33453897667309157/0.4918689569085854/0.5509253456357108|$$$2023-04-23T19:45:09.923+01:00/0.1722010844217453/0.6332561454505965/0.41275433397276895|$$$2023-04-23T19:45:10.197+01:00/0.6144539227285658/0.2899486587657742/0.7613284416434378|$$$2023-04-23T19:45:10.442+01:00/0.1255155824338482/0.20797139729913458/0.6356765187174798|$$$2023-04-23T19:45:10.693+01:00/0.8472227893820578/0.4534167634839356/0.7063823715269992|$$$2023-04-23T19:45:10.958+01:00/0.7169302890075046/0.24779260198975414/0.611994124073646|$$$2023-04-23T19:45:11.209+01:00/0.0/0.5345828466670469/0.787617443711809|$$$2023-04-23T19:45:11.459+01:00/0.7956424552164904/0.34035242160658996/0.9162350873647199|$$$2023-04-23T19:45:11.710+01:00/0.7353371162401177/0.451617224467896/0.7797906820507104|$$$2023-04-23T19:45:11.960+01:00/0.8465153722470687/0.3953155365788284/0.8076965614033871|$$$2023-04-23T19:45:12.210+01:00/0.5351324504487057/0.4821716114422235/0.7594179415261187|$$$2023-04-23T19:45:12.461+01:00/0.5487965543571829/0.612940653524603/0.8778984411967147|$$$2023-04-23T19:45:12.711+01:00/0.5735203376536573/0.0/0.6445585009882121|$$$2023-04-23T19:45:12.961+01:00/0.7202375895905783/0.01823657500610553/0.8003646648124045|$$$2023-04-23T19:45:13.211+01:00/0.5226242884685851/0.7315530803728405/0.0|$$$2023-04-23T19:45:13.462+01:00/1.0/1.0/0.3384881416710652|$$$2023-04-23T19:45:13.712+01:00/0.5806483872910612/0.2875800937900052/1.0|$$$2023-04-23T19:45:13.962+01:00/0.37142931721801203/0.673100703573882/0.5271809302162183"
"Aggressive","$$$2023-04-23T19:49:11.823+01:00/0.28955642569999/0.21653278791851918/0.21819640113388042|$$$2023-04-23T19:49:12.075+01:00/0.38501036143003586/0.45587512446511586/0.0768638276744784|$$$2023-04-23T19:49:12.327+01:00/0.5586000084127138/0.49746224378815135/0.19083117599772328|$$$2023-04-23T19:49:12.578+01:00/0.3927728622694812/0.09217079334973866/0.4366987286696794|$$$2023-04-23T19:49:12.843+01:00/0.5047046748608561/0.0/0.25523917044042194|$$$2023-04-23T19:49:13.096+01:00/0.46500526954691696/0.17438474710486662/0.174895881963035|$$$2023-04-23T19:49:13.347+01:00/0.31749043805705496/0.3857131461330109/0.2473794655400668|$$$2023-04-23T19:49:13.616+01:00/0.5296437525051777/0.03021658785141253/0.19843087961796085|$$$2023-04-23T19:49:13.871+01:00/0.3998313944777795/0.3929169595574752/0.235531507345669|$$$2023-04-23T19:49:14.121+01:00/0.49556603954568423/0.1867956246159831/0.09536948206949447|$$$2023-04-23T19:49:14.372+01:00/0.6116106106233843/0.22338129863988732/0.5601165268602296|$$$2023-04-23T19:49:14.626+01:00/0.9168347813040282/0.2439348860988893/0.3975614845169057|$$$2023-04-23T19:49:14.878+01:00/0.12748337790825648/0.18391162770150596/0.11617066932429682|$$$2023-04-23T19:49:15.129+01:00/0.6340882175732311/0.17353763572404496/0.33205888106876075|$$$2023-04-23T19:49:15.380+01:00/0.2707529683925577/0.23671961273429604/0.17531752520728683|$$$2023-04-23T19:49:15.630+01:00/0.8722481714485297/0.22624572915889082/0.5844033223751894|$$$2023-04-23T19:49:15.880+01:00/1.0/1.0/1.0|$$$2023-04-23T19:49:16.130+01:00/0.728800337127261/0.6523595739468876/0.3286354706113574|$$$2023-04-23T19:49:16.381+01:00/0.3380961839577797/0.3888455649754444/0.7422841275185138|$$$2023-04-23T19:49:16.632+01:00/0.04167343915908609/0.22875780612701738/0.0|$$$2023-04-23T19:49:16.884+01:00/0.22716812885905854/0.39715344065030356/0.1353919600661177|$$$2023-04-23T19:49:17.136+01:00/0.9145230036378758/0.17742509034538861/0.5634166265575216|$$$2023-04-23T19:49:17.386+01:00/0.5720240228952995/0.08363947524775717/0.4388901163713657|$$$2023-04-23T19:49:17.637+01:00/0.0/0.33044914277931486/0.26338708260121335|$$$2023-04-23T19:49:17.888+01:00/0.5172783736496961/0.2546869504790374/0.5618580653373453"
"Aggressive","$$$2023-04-23T19:50:16.730+01:00/0.48112811959270074/0.4869338244538832/0.25637809258476585|$$$2023-04-23T19:50:16.981+01:00/0.690303504134204/0.6190383096956391/0.3142676755586557|$$$2023-04-23T19:50:17.233+01:00/0.6321926768990567/0.5254203591040282/0.4082356335911595|$$$2023-04-23T19:50:17.483+01:00/0.5079907603723802/0.7688388490132803/0.283790699187749|$$$2023-04-23T19:50:17.744+01:00/0.6284515082614728/0.5278948213590755/0.2755127336557355|$$$2023-04-23T19:50:17.993+01:00/0.44032825555992494/0.0/0.38265548721099396|$$$2023-04-23T19:50:18.249+01:00/0.5368342080217503/0.75482456293207/0.49823205242888813|$$$2023-04-23T19:50:18.511+01:00/0.4196837302964115/0.3964074816386548/0.22625992525092387|$$$2023-04-23T19:50:18.761+01:00/0.5364722964351882/0.5547519213012398/0.17628696277600728|$$$2023-04-23T19:50:19.012+01:00/0.5106639397446592/0.5344908512937648/0.4530500895225201|$$$2023-04-23T19:50:19.262+01:00/0.7025179786705552/0.47374495398293176/0.4310968084468226|$$$2023-04-23T19:50:19.513+01:00/0.5900589257330504/0.5157368881357285/0.5458296303599001|$$$2023-04-23T19:50:19.763+01:00/1.0/0.5688826463372586/0.5596404957055582|$$$2023-04-23T19:50:20.014+01:00/0.47903471188648306/0.7278937463974134/0.24990250533919312|$$$2023-04-23T19:50:20.265+01:00/0.6515928759593173/0.47263969376771847/0.606541839940913|$$$2023-04-23T19:50:20.516+01:00/0.5605904763410692/0.12883828915717813/0.8218947117678944|$$$2023-04-23T19:50:20.768+01:00/0.24557890310508051/0.24538988539023385/0.0|$$$2023-04-23T19:50:21.018+01:00/0.4601485637188313/1.0/1.0|$$$2023-04-23T19:50:21.269+01:00/0.6955554164519824/0.5766876005734508/0.11848291427570029|$$$2023-04-23T19:50:21.520+01:00/0.4261739438271842/0.7720529905317348/0.30185688825250667|$$$2023-04-23T19:50:21.772+01:00/0.4167585027852457/0.514441751698111/0.6318186298212201|$$$2023-04-23T19:50:22.024+01:00/0.528638633142099/0.40483096425937604/0.5261995439202207|$$$2023-04-23T19:50:22.275+01:00/0.23217613549113217/0.5024500296711993/0.5509656659953127|$$$2023-04-23T19:50:22.526+01:00/0.0/0.5550487075174856/0.5891628236972359|$$$2023-04-23T19:50:22.777+01:00/0.19838904040975747/0.6060262480779736/0.4939158401038827|$$$2023-04-23T19:50:23.028+01:00/0.10173567460960325/0.4622168925457357/0.4716283962388358|$$$2023-04-23T19:50:23.279+01:00/0.31887166787549126/0.42957007292467714/0.5578442786010078"
"Aggressive","$$$2023-04-28 17:18:48.378/0.2700721482395749/0.5938257695594813/0.11847588932806324|$$$2023-04-28 17:18:48.634/0.31765937596687455/0.6014415166016707/0.0|$$$2023-04-28 17:18:48.885/0.5743057152526783/0.6465162020838767/0.03352481335090031|$$$2023-04-28 17:18:49.136/0.5524034518943315/0.641346039311181/0.04071462450592885|$$$2023-04-28 17:18:49.389/0.6163383687852602/0.820260236281041/0.18073184014053578|$$$2023-04-28 17:18:49.639/0.7188489507940762/1.0/0.00176723759332455|$$$2023-04-28 17:18:49.890/0.6913952631450712/0.7555105560373074/0.8738733421168203|$$$2023-04-28 17:18:50.140/1.0/0.974146399230154/0.2993187527448397|$$$2023-04-28 17:18:50.404/0.5439531980162363/0.5233637213204761/1.0|$$$2023-04-28 17:18:50.669/0.0/0.0/0.2582429512516469|$$$2023-04-28 17:18:50.918/0.5360283731675902/0.893409461312704/0.577716644707949|$$$2023-04-28 17:18:51.168/0.14911453902259686/0.6588080653243907/0.11665384277558191|$$$2023-04-28 17:18:51.418/0.6129479455616476/0.7331559900081159/0.2636339042599912"
"Aggressive","$$$2023-04-28 17:19:18.822/0.5915620019421306/0.5833601818406169/0.44580059884153556|$$$2023-04-28 17:19:19.073/0.5230125264405021/0.5820875779886922/0.6339556223532299|$$$2023-04-28 17:19:19.327/0.5001533560246518/0.752641923903331/0.1840613091834345|$$$2023-04-28 17:19:19.580/0.3465307816420353/0.9814037361176926/0.07327086346335071|$$$2023-04-28 17:19:19.837/0.7067871376348936/0.9797543423926482/0.6766710228485274|$$$2023-04-28 17:19:20.089/0.5180219906061956/0.6889194483823966/0.823598875732806|$$$2023-04-28 17:19:20.341/0.520468245413745/0.8034125255775325/0.48716239410214246|$$$2023-04-28 17:19:20.593/0.021776901620886403/0.18727430321235092/0.0|$$$2023-04-28 17:19:20.854/0.04975138424641275/0.9904749859859259/0.4245130246086038|$$$2023-04-28 17:19:21.104/0.02052921203582978/0.538002831877413/0.25794339445407116|$$$2023-04-28 17:19:21.356/0.6129544133332272/0.8285461149242748/0.7995235759765589|$$$2023-04-28 17:19:21.607/0.345247528194096/0.5300620362917725/0.30008999505222006|$$$2023-04-28 17:19:21.860/0.4216360116449215/0.0/0.29274624295547386|$$$2023-04-28 17:19:22.112/1.0/0.5940445049066501/1.0|$$$2023-04-28 17:19:22.369/0.08102701414707474/1.0/0.09864306161522722|$$$2023-04-28 17:19:22.621/0.0/0.7252708238305268/0.48529626293273054|$$$2023-04-28 17:19:22.874/0.3767071828520522/0.42766952103884437/0.03806327530910638|$$$2023-04-28 17:19:23.130/0.3353811459658119/0.42997406965265783/0.3322436385532051|$$$2023-04-28 17:19:23.399/0.5340936673776802/0.42551527275476797/0.7882285259641569"
"Aggressive","$$$2023-04-28 17:20:10.872/0.32889883403805076/0.5160761565455722/0.15900390611799045|$$$2023-04-28 17:20:11.122/0.5292223680511339/0.5250771567757556/0.4724229525635167|$$$2023-04-28 17:20:11.373/0.3866115330432821/0.5565725886123247/0.0|$$$2023-04-28 17:20:11.631/0.23512796621188112/0.8380241310305981/0.0755804975894162|$$$2023-04-28 17:20:11.887/0.6154577068194214/1.0/0.6502394466445495|$$$2023-04-28 17:20:12.150/0.5047440892530745/0.4534389563142961/0.4135878626988868|$$$2023-04-28 17:20:12.401/0.39452439389396954/0.5263189286478636/0.2903701947547901|$$$2023-04-28 17:20:12.652/0.42488663324084686/0.8858339524631745/0.40485433814098315|$$$2023-04-28 17:20:12.904/0.0/0.6645580056897029/0.7023868756931111|$$$2023-04-28 17:20:13.167/0.3426526424001981/0.21059575161089597/0.9170148794344162|$$$2023-04-28 17:20:13.422/0.024228757763249387/0.7361949515333361/0.5434859126553959|$$$2023-04-28 17:20:13.677/0.5208071000599891/0.5118615122199555/0.4102141372044091|$$$2023-04-28 17:20:13.931/0.587898912115952/0.4836326999504415/0.5678387100296195|$$$2023-04-28 17:20:14.185/1.0/0.0/0.5482082964843898|$$$2023-04-28 17:20:14.439/0.19487628946727462/0.4705703297228911/0.29917754717834577|$$$2023-04-28 17:20:14.693/0.29451103064027057/0.6665715229643693/1.0|$$$2023-04-28 17:20:14.943/0.32711432458630996/0.5785388316652393/0.3321853620138994"
