"label","sensor_data"
"Aggressive","$$$0.9480900232691144/0.6571609099218534/0.5162223841293282|$$$1.0/0.4956037531490986/0.6086395773571097|$$$0.9391821067266011/0.9524225792190245/0.342115795526572|$$$0.5483212844153382/0.7297062302452688/0.5918968942151245|$$$0.9451939486264607/0.53860869921193/0.7519897149055457|$$$0.45794670804477455/0.3974974146326722/0.4771681031384567|$$$0.5206549706757153/0.0/0.6784160039728955|$$$0.0/1.0/0.4887298496442037|$$$0.48607042797916056/0.18718141520849632/0.16514388677247985|$$$0.38914332289492315/0.6556420579089455/1.0|$$$0.3559252250213007/0.40954839804741167/0.0|$$$0.45568741028342097/0.4921516445021685/0.8437951279755876|$$$0.691704803138625/0.3855378640574225/0.7349170462045126"
"Normal","$$$0.21986313583956876/0.4074129547760905/0.2723820561477689|$$$0.24346772452913001/0.4926461903713602/0.19861275614819343|$$$1.0/0.7541884358580742/1.0|$$$0.0/1.0/0.0|$$$0.4679913231001063/0.6993348489866933/0.8898753804811574|$$$0.06811627618278371/0.10054333119006852/0.23496913698170718|$$$0.1432789558987935/0.6514196938169542/0.4152455668903917|$$$0.6015911910542846/0.22734729650903313/0.3922808492212076|$$$0.3295284829047969/0.4777908359845083/0.607026643232848|$$$0.17623179724241808/0.3734271637610355/0.6756273428511995|$$$0.3965029218819892/0.41315173006041506/0.25729016781940317|$$$0.6157727789289102/0.0/0.6239015397547091|$$$0.5262422661530533/0.41849158364708994/0.3267760032603574"
"Slow","$$$0.4397941025462734/0.6317942676369269/0.16293888527503214|$$$0.5359410837478148/0.8725077102869673/0.11796653127925241|$$$0.563003756934948/0.735831094894206/0.4476917371368735|$$$0.7275866205636174/0.5896385263860406/0.5513979676022148|$$$0.3465511983351208/0.6129086539370685/0.0|$$$1.0/0.6080270771371991/0.299262046042298|$$$0.7751576486883036/0.4654619582688809/0.687071625759571|$$$0.5883023696995365/0.42934811163791486/0.575374034174745|$$$0.0/0.6961763202475437/0.8644403766520173|$$$0.8343825078120226/0.0/0.6057201843595805|$$$0.2817455384202612/0.37782608455321354/0.32289898300782177|$$$0.5939656137556215/1.0/0.3021823287692967|$$$0.5980530803144054/0.24431015587565905/0.10719569563216932|$$$0.289155402534263/0.7598249319013142/1.0"
"Aggressive","$$$0.3569560318212405/0.47122514100600726/0.04766240800926445|$$$0.0/0.5248227256976803/0.2900706040569315|$$$0.26138869973538104/0.7914028208246946/0.1561171504352049|$$$0.17970718199950303/0.38718950976794053/0.2945823527214315|$$$0.3210397844745591/0.49436320239598125/0.4727445926257985|$$$0.3813730355370444/0.13208632847001917/0.8017109342896634|$$$0.7610879126416403/0.3345841892010471/0.5716472412118495|$$$0.6767713515310944/0.48179683862161904/0.7007023049049274|$$$1.0/0.35524174540009135/0.6518650304456648|$$$0.5929495873520819/0.5162546812521257/0.0|$$$0.5054668727399814/0.44904688842047014/0.1490184541820763|$$$0.7742142887554984/0.4895010891697267/0.6779212895513467|$$$0.856052707954356/0.4296760160406743/1.0|$$$0.42269362940719846/0.7335835925755838/0.47139695169785945|$$$0.35581100129946275/0.20187469456170926/0.48262822668011507|$$$0.29590223569169427/0.0/0.543759572639994|$$$0.11415638183412802/1.0/0.4063403563823826"
"Aggressive","$$$0.34225991794111466/0.433077419501953/0.4412439892977296|$$$0.7531959930942922/0.4191996086506473/0.656099569801347|$$$0.33453897667309157/0.4918689569085854/0.5509253456357108|$$$0.1722010844217453/0.6332561454505965/0.41275433397276895|$$$0.6144539227285658/0.2899486587657742/0.7613284416434378|$$$0.1255155824338482/0.20797139729913458/0.6356765187174798|$$$0.8472227893820578/0.4534167634839356/0.7063823715269992|$$$0.7169302890075046/0.24779260198975414/0.611994124073646|$$$0.0/0.5345828466670469/0.787617443711809|$$$0.7956424552164904/0.34035242160658996/0.9162350873647199|$$$0.7353371162401177/0.451617224467896/0.7797906820507104|$$$0.8465153722470687/0.3953155365788284/0.8076965614033871|$$$0.5351324504487057/0.4821716114422235/0.7594179415261187|$$$0.5487965543571829/0.612940653524603/0.8778984411967147|$$$0.5735203376536573/0.0/0.6445585009882121|$$$0.7202375895905783/0.01823657500610553/0.8003646648124045|$$$0.5226242884685851/0.7315530803728405/0.0|$$$1.0/1.0/0.3384881416710652|$$$0.5806483872910612/0.2875800937900052/1.0|$$$0.37142931721801203/0.673100703573882/0.5271809302162183"
"Aggressive","$$$0.28955642569999/0.21653278791851918/0.21819640113388042|$$$0.38501036143003586/0.45587512446511586/0.0768638276744784|$$$0.5586000084127138/0.49746224378815135/0.19083117599772328|$$$0.3927728622694812/0.09217079334973866/0.4366987286696794|$$$0.5047046748608561/0.0/0.25523917044042194|$$$0.46500526954691696/0.17438474710486662/0.174895881963035|$$$0.31749043805705496/0.3857131461330109/0.2473794655400668|$$$0.5296437525051777/0.03021658785141253/0.19843087961796085|$$$0.3998313944777795/0.3929169595574752/0.235531507345669|$$$0.49556603954568423/0.1867956246159831/0.09536948206949447|$$$0.6116106106233843/0.22338129863988732/0.5601165268602296|$$$0.9168347813040282/0.2439348860988893/0.3975614845169057|$$$0.12748337790825648/0.18391162770150596/0.11617066932429682|$$$0.6340882175732311/0.17353763572404496/0.33205888106876075|$$$0.2707529683925577/0.23671961273429604/0.17531752520728683|$$$0.8722481714485297/0.22624572915889082/0.5844033223751894|$$$1.0/1.0/1.0|$$$0.728800337127261/0.6523595739468876/0.3286354706113574|$$$0.3380961839577797/0.3888455649754444/0.7422841275185138|$$$0.04167343915908609/0.22875780612701738/0.0|$$$0.22716812885905854/0.39715344065030356/0.1353919600661177|$$$0.9145230036378758/0.17742509034538861/0.5634166265575216|$$$0.5720240228952995/0.08363947524775717/0.4388901163713657|$$$0.0/0.33044914277931486/0.26338708260121335|$$$0.5172783736496961/0.2546869504790374/0.5618580653373453"
"Aggressive","$$$0.48112811959270074/0.4869338244538832/0.25637809258476585|$$$0.690303504134204/0.6190383096956391/0.3142676755586557|$$$0.6321926768990567/0.5254203591040282/0.4082356335911595|$$$0.5079907603723802/0.7688388490132803/0.283790699187749|$$$0.6284515082614728/0.5278948213590755/0.2755127336557355|$$$0.44032825555992494/0.0/0.38265548721099396|$$$0.5368342080217503/0.75482456293207/0.49823205242888813|$$$0.4196837302964115/0.3964074816386548/0.22625992525092387|$$$0.5364722964351882/0.5547519213012398/0.17628696277600728|$$$0.5106639397446592/0.5344908512937648/0.4530500895225201|$$$0.7025179786705552/0.47374495398293176/0.4310968084468226|$$$0.5900589257330504/0.5157368881357285/0.5458296303599001|$$$1.0/0.5688826463372586/0.5596404957055582|$$$0.47903471188648306/0.7278937463974134/0.24990250533919312|$$$0.6515928759593173/0.47263969376771847/0.606541839940913|$$$0.5605904763410692/0.12883828915717813/0.8218947117678944|$$$0.24557890310508051/0.24538988539023385/0.0|$$$0.4601485637188313/1.0/1.0|$$$0.6955554164519824/0.5766876005734508/0.11848291427570029|$$$0.4261739438271842/0.7720529905317348/0.30185688825250667|$$$0.4167585027852457/0.514441751698111/0.6318186298212201|$$$0.528638633142099/0.40483096425937604/0.5261995439202207|$$$0.23217613549113217/0.5024500296711993/0.5509656659953127|$$$0.0/0.5550487075174856/0.5891628236972359|$$$0.19838904040975747/0.6060262480779736/0.4939158401038827|$$$0.10173567460960325/0.4622168925457357/0.4716283962388358|$$$0.31887166787549126/0.42957007292467714/0.5578442786010078"
"Aggressive","$$$0.2700721482395749/0.5938257695594813/0.11847588932806324|$$$0.31765937596687455/0.6014415166016707/0.0|$$$0.5743057152526783/0.6465162020838767/0.03352481335090031|$$$0.5524034518943315/0.641346039311181/0.04071462450592885|$$$0.6163383687852602/0.820260236281041/0.18073184014053578|$$$0.7188489507940762/1.0/0.00176723759332455|$$$0.6913952631450712/0.7555105560373074/0.8738733421168203|$$$1.0/0.974146399230154/0.2993187527448397|$$$0.5439531980162363/0.5233637213204761/1.0|$$$0.0/0.0/0.2582429512516469|$$$0.5360283731675902/0.893409461312704/0.577716644707949|$$$0.14911453902259686/0.6588080653243907/0.11665384277558191|$$$0.6129479455616476/0.7331559900081159/0.2636339042599912"
"Aggressive","$$$0.5915620019421306/0.5833601818406169/0.44580059884153556|$$$0.5230125264405021/0.5820875779886922/0.6339556223532299|$$$0.5001533560246518/0.752641923903331/0.1840613091834345|$$$0.3465307816420353/0.9814037361176926/0.07327086346335071|$$$0.7067871376348936/0.9797543423926482/0.6766710228485274|$$$0.5180219906061956/0.6889194483823966/0.823598875732806|$$$0.520468245413745/0.8034125255775325/0.48716239410214246|$$$0.021776901620886403/0.18727430321235092/0.0|$$$0.04975138424641275/0.9904749859859259/0.4245130246086038|$$$0.02052921203582978/0.538002831877413/0.25794339445407116|$$$0.6129544133332272/0.8285461149242748/0.7995235759765589|$$$0.345247528194096/0.5300620362917725/0.30008999505222006|$$$0.4216360116449215/0.0/0.29274624295547386|$$$1.0/0.5940445049066501/1.0|$$$0.08102701414707474/1.0/0.09864306161522722|$$$0.0/0.7252708238305268/0.48529626293273054|$$$0.3767071828520522/0.42766952103884437/0.03806327530910638|$$$0.3353811459658119/0.42997406965265783/0.3322436385532051|$$$0.5340936673776802/0.42551527275476797/0.7882285259641569"
"Aggressive","$$$0.32889883403805076/0.5160761565455722/0.15900390611799045|$$$0.5292223680511339/0.5250771567757556/0.4724229525635167|$$$0.3866115330432821/0.5565725886123247/0.0|$$$0.23512796621188112/0.8380241310305981/0.0755804975894162|$$$0.6154577068194214/1.0/0.6502394466445495|$$$0.5047440892530745/0.4534389563142961/0.4135878626988868|$$$0.39452439389396954/0.5263189286478636/0.2903701947547901|$$$0.42488663324084686/0.8858339524631745/0.40485433814098315|$$$0.0/0.6645580056897029/0.7023868756931111|$$$0.3426526424001981/0.21059575161089597/0.9170148794344162|$$$0.024228757763249387/0.7361949515333361/0.5434859126553959|$$$0.5208071000599891/0.5118615122199555/0.4102141372044091|$$$0.587898912115952/0.4836326999504415/0.5678387100296195|$$$1.0/0.0/0.5482082964843898|$$$0.19487628946727462/0.4705703297228911/0.29917754717834577|$$$0.29451103064027057/0.6665715229643693/1.0|$$$0.32711432458630996/0.5785388316652393/0.3321853620138994"
