accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,label
"[0.2042242884635925, 0.2303424328565597, 0.1997423321008682, 0.0030834230128675]","[0.5744720101356506, 0.1755260527133941, 1.303585171699524, 0.7536139488220215]","[0.0150766372680664, 0.1229810714721679, -0.188206672668457, 0.1034326553344726]","[0.0018325960263609, -0.0006108650122769177, 0.0146607663482427, 0.0342084541916847]","[0.0067195179872214, 0.0, -0.0134390350431203, -0.0116064399480819]","[0.0030543259344995, -0.0024434609804302, -0.0030543259344995, -0.0116064399480819]",Normal
"[0.2303424328565597, 0.1997423321008682, 0.0030834230128675, 0.2027671486139297]","[0.1755260527133941, 1.303585171699524, 0.7536139488220215, 0.2817215919494629]","[0.1229810714721679, -0.188206672668457, 0.1034326553344726, 0.290353775024414]","[-0.0006108650122769177, 0.0146607663482427, 0.0342084541916847, 0.0232128798961639]","[0.0, -0.0134390350431203, -0.0116064399480819, -0.0152716310694813]","[-0.0024434609804302, -0.0030543259344995, -0.0116064399480819, -0.0366519130766391]",Normal
"[0.1997423321008682, 0.0030834230128675, 0.2027671486139297, -0.042387917637825]","[1.303585171699524, 0.7536139488220215, 0.2817215919494629, -0.0667357444763183]","[-0.188206672668457, 0.1034326553344726, 0.290353775024414, -0.030522346496582]","[0.0146607663482427, 0.0342084541916847, 0.0232128798961639, 0.0006108650122769177]","[-0.0134390350431203, -0.0116064399480819, -0.0152716310694813, -0.0036651920527219]","[-0.0030543259344995, -0.0116064399480819, -0.0366519130766391, -0.0421497002243995]",Normal
"[0.0030834230128675, 0.2027671486139297, -0.042387917637825, -0.0108366906642913]","[0.7536139488220215, 0.2817215919494629, -0.0667357444763183, -1.0483077764511108]","[0.1034326553344726, 0.290353775024414, -0.030522346496582, 0.2044506072998047]","[0.0342084541916847, 0.0232128798961639, 0.0006108650122769177, -0.0256563406437635]","[-0.0116064399480819, -0.0152716310694813, -0.0036651920527219, 0.0213802829384803]","[-0.0116064399480819, -0.0366519130766391, -0.0421497002243995, -0.0427605658769607]",Normal
"[0.2027671486139297, -0.042387917637825, -0.0108366906642913, -0.2728006243705749]","[0.2817215919494629, -0.0667357444763183, -1.0483077764511108, 1.4210718870162964]","[0.290353775024414, -0.030522346496582, 0.2044506072998047, -0.0170230865478515]","[0.0232128798961639, 0.0006108650122769177, -0.0256563406437635, 0.0543670058250427]","[-0.0152716310694813, -0.0036651920527219, 0.0213802829384803, 0.0006108650122769177]","[-0.0366519130766391, -0.0421497002243995, -0.0427605658769607, -0.0415388382971286]",Normal
"[-0.042387917637825, -0.0108366906642913, -0.2728006243705749, -0.0282376632094383]","[-0.0667357444763183, -1.0483077764511108, 1.4210718870162964, -0.5860857963562012]","[-0.030522346496582, 0.2044506072998047, -0.0170230865478515, -0.3948354721069336]","[0.0006108650122769177, -0.0256563406437635, 0.0543670058250427, -0.0201585534960031]","[-0.0036651920527219, 0.0213802829384803, 0.0006108650122769177, 0.0164933614432811]","[-0.0421497002243995, -0.0427605658769607, -0.0415388382971286, -0.0421497002243995]",Normal
"[-0.0108366906642913, -0.2728006243705749, -0.0282376632094383, -0.0770058631896972]","[-1.0483077764511108, 1.4210718870162964, -0.5860857963562012, 0.5707213878631592]","[0.2044506072998047, -0.0170230865478515, -0.3948354721069336, 0.579925537109375]","[-0.0256563406437635, 0.0543670058250427, -0.0201585534960031, 0.0384845100343227]","[0.0213802829384803, 0.0006108650122769177, 0.0164933614432811, 0.0207694191485643]","[-0.0427605658769607, -0.0415388382971286, -0.0421497002243995, -0.0348193198442459]",Normal
"[-0.2728006243705749, -0.0282376632094383, -0.0770058631896972, -0.0937193185091018]","[1.4210718870162964, -0.5860857963562012, 0.5707213878631592, -0.0369772911071777]","[-0.0170230865478515, -0.3948354721069336, 0.579925537109375, -0.5876541137695312]","[0.0543670058250427, -0.0201585534960031, 0.0384845100343227, 0.0250454749912023]","[0.0006108650122769177, 0.0164933614432811, 0.0207694191485643, 0.0250454749912023]","[-0.0415388382971286, -0.0421497002243995, -0.0348193198442459, -0.0384845100343227]",Normal
"[-0.0282376632094383, -0.0770058631896972, -0.0937193185091018, -0.0435246676206588]","[-0.5860857963562012, 0.5707213878631592, -0.0369772911071777, 0.1670014858245849]","[-0.3948354721069336, 0.579925537109375, -0.5876541137695312, 0.3975439071655273]","[-0.0201585534960031, 0.0384845100343227, 0.0250454749912023, 0.0048869219608604]","[0.0164933614432811, 0.0207694191485643, 0.0250454749912023, 0.0140499006956815]","[-0.0421497002243995, -0.0348193198442459, -0.0384845100343227, -0.0378736443817615]",Normal
"[-0.0770058631896972, -0.0937193185091018, -0.0435246676206588, 0.0752258449792862]","[0.5707213878631592, -0.0369772911071777, 0.1670014858245849, -0.0962684154510498]","[0.579925537109375, -0.5876541137695312, 0.3975439071655273, 0.2704200744628906]","[0.0384845100343227, 0.0250454749912023, 0.0048869219608604, 0.0122173046693205]","[0.0207694191485643, 0.0250454749912023, 0.0140499006956815, 0.0116064399480819]","[-0.0348193198442459, -0.0384845100343227, -0.0378736443817615, -0.0280998013913631]",Normal
